"Progress","Duration..in.seconds.","Finished","UserLanguage","Q1","Q1Q4_1","Q1Q4_2","Q1Q4_3","Q1Q4_4","Q1Q5","Q1Q6"
100,34,"True","EN","mz2635","Chinese","N/A","N/A","N/A","Chinese",1
100,43,"True","EN","sw3323","Chinese","English","N/A","N/A","Chinese",0
100,38,"True","EN","esg2162","N/A","N/A","N/A","N/A","English",1
100,60,"True","EN","qz2356","Chinese","English","French","NA","Hunanese",1
100,41,"True","EN","xt2213","Mandarin","English","Polish","Japanese","Mandarin",0
100,44,"True","EN","hr2461","Mandarin","Japanese (basic)","N/A","N/A","Mandarin",1
100,44,"True","EN","xz2819","Chinese","English","N/A","N/A","Chinese",1
100,66,"True","EN","cy2503","Mandarin","Taiwanese","Japanese","N/A","Mandarin",1
100,53,"True","EN","mkm2203","Mandarin","n/a","n/a","n/a","English",1
100,93,"True","EN","sl4391","Chinese","N/A","N/A","N/A","Chinese",0
