"Progress","Duration..in.seconds.","Finished","UserLanguage","Q1","Q2Q4","Q2Q5","Q2Q6","Q2Q7","Q2Score","Q2Alphabet","Q2IntrotoRussian","Q2PersonalPronounsPoss","Q2Score_pct","Q2Alphabet_pct","Q2IntrotoRussian_pct","Q2PersonalPronounsPoss_pct"
100,31,"True","EN","mkm2203",1,1,1,1,4,2,3,1,100,100,100,100
100,45,"True","EN","sw3323",1,1,0,1,3,1,3,1,75,50,100,100
100,63,"True","EN","sl4391",1,1,1,1,4,2,3,1,100,100,100,100
100,80,"True","EN","qz2356",1,1,0,1,3,1,3,1,75,50,100,100
100,88,"True","EN","mz2635",1,1,0,1,3,1,3,1,75,50,100,100
100,84,"True","EN","esg2162",1,1,0,1,3,1,3,1,75,50,100,100
100,95,"True","EN","cy2503",1,1,0,1,3,1,3,1,75,50,100,100
100,85,"True","EN","xt2213",1,1,1,1,4,2,3,1,100,100,100,100
100,44,"True","EN","lx2241",1,1,1,1,4,2,3,1,100,100,100,100
100,182,"True","EN","hr2461",1,1,0,1,3,1,3,1,75,50,100,100
100,196,"True","EN","xz2819",1,1,1,1,4,2,3,1,100,100,100,100
