"Progress","Duration..in.seconds.","Finished","UserLanguage","Q1","Q3Q4","Q3Score","Q3Greetings","Q3PersonalPronounsPoss","Q3Score_pct","Q3Greetings_pct","Q3PersonalPronounsPoss_pct"
100,10,"True","EN","mkm2203",1,1,1,1,100,100,100
100,15,"True","EN","cy2503",1,1,1,1,100,100,100
100,21,"True","EN","mz2635",1,1,1,1,100,100,100
100,17,"True","EN","lx2241",1,1,1,1,100,100,100
100,10,"True","EN","sw3323",1,1,1,1,100,100,100
100,27,"True","EN","qz2356",0,0,0,0,0,0,0
100,16,"True","EN","xt2213",0,0,0,0,0,0,0
100,18,"True","EN","esg2162",1,1,1,1,100,100,100
100,36,"True","EN","sl4391",1,1,1,1,100,100,100
100,13,"True","EN","hr2461",1,1,1,1,100,100,100
100,76,"True","EN","xz2819",1,1,1,1,100,100,100
